Molecule,Pred Ki,Confidence,Pred Scale
424,134.07735840181172,Confident,++
425,338.2765528921822,Confident,++
426,185.4929376951265,Confident,++
427,257.49860670826826,Confident,++
428,389.5948584485236,Confident,++
429,409.8883115988589,Confident,++
430,402.1699622848913,Confident,++
431,352.33928961229566,Confident,++
432,75.20502241931162,Confident,++
433,98.93214447142948,Confident,++
434,192.66128944397468,Confident,++
435,49.80704032003188,Confident,+
436,8.392949928758012,Confident,+
437,8.392949928758012,Confident,+
438,34.90040459094213,Confident,+
439,30.44262005503661,Confident,+
440,13.134299504757204,Confident,+
441,33.83380120566826,Confident,+
442,13.581736148737942,Confident,+
443,46.56639832628662,Confident,+
444,36.18401950798363,Confident,+
445,2.103681291584473,Confident,+
446,1.975060075306467,Confident,+
447,1.975060075306467,Confident,+
448,8.881228533308382,Confident,+
449,1.6702671502457314,Confident,+
450,2.474474839650462,Confident,+
451,23.09427503385208,Confident,+
452,35.975102030295254,Confident,+
453,10.246207638307432,Confident,+
454,55.46540517655524,Confident,++
455,28.494589087714267,Confident,+
456,8.59345291243433,Confident,+
457,7.555330440877736,Confident,+
458,58.73709748614318,Confident,++
459,34.86867918755311,Confident,+
460,34.86867918755311,Confident,+
461,24.379379759150154,Confident,+
462,7.652804446732416,Confident,+
463,15.672531170398502,Confident,+
464,13.905250247660101,Confident,+
465,9.347478729667428,Confident,+
466,15.716894907986854,Confident,+
467,76.1122247970711,Confident,++
468,65.20806033286054,Confident,++
469,70.22976169478974,Confident,++
470,70.22976169478974,Confident,++
471,49.55692136948959,Confident,+
472,161.67703026167433,Confident,++
473,91.02436035522379,Confident,++
474,11.075478799709565,Confident,+
475,207.53161900560897,Confident,++
476,9.584134948852782,Confident,+
477,73.87290264448907,Confident,++
478,73.87290264448907,Confident,++
479,20.27379084773666,Confident,+
480,41.00710225924841,Confident,+
481,15.16252048897299,Confident,+
482,51.0384974380768,Confident,++
483,51.0384974380768,Confident,++
484,51.0384974380768,Confident,++
485,18.23106513164131,Confident,+
486,32.001354093496644,Confident,+
487,13.971525577881927,Confident,+
488,73.07675264490643,Confident,++
489,194.96293576520833,Confident,++
490,105.04749436699986,Confident,++
491,40.470207413863086,Confident,+
492,48.775402001329425,Confident,+
493,55.649096261075286,Confident,++
494,518.8167177314095,Confident,+++
495,96.66956546416603,Confident,++
496,0.862982127735195,Confident,+
497,0.9829060304088308,Confident,+
498,5.569881379343566,Confident,+
499,14.889886020182761,Confident,+
500,74.61734498793837,Confident,++
501,28.66396068421307,Confident,+
502,27.349653300793115,Confident,+
503,5.736124080562414,Confident,+
504,3.2297887966245646,Confident,+
505,30.83946432235519,Confident,+
506,57.316729985331584,Confident,++
507,51.90519229273902,Confident,++
508,53.287355461386916,Confident,++
509,74.91203076069255,Confident,++
510,402.07370157613644,Confident,++
511,71.00479330706956,Confident,++
512,71.00479330706956,Confident,++
513,54.12304963037211,Confident,++
514,54.12304963037211,Confident,++
515,72.12148445608072,Confident,++
516,72.12148445608072,Confident,++
517,94.74766278169902,Confident,++
518,94.74766278169902,Confident,++
519,37.476022421288896,Confident,+
520,37.476022421288896,Confident,+
521,328.147632625207,Confident,++
522,328.147632625207,Confident,++
523,143.20571305069214,Confident,++
524,143.20571305069214,Confident,++
525,324.8231814395343,Confident,++
526,183.6749543339882,Confident,++
527,49.10170992582645,Confident,+
528,118.94959408954267,Confident,++
529,114.65473375861487,Confident,++
530,252.7968739388258,Confident,++
531,252.7968739388258,Confident,++
532,32.88099444653617,Confident,+
533,40.82340642244091,Confident,+
534,38.68331861097432,Confident,+
535,71.07914816819095,Confident,++
536,54.755894277333496,Confident,++
537,21.363794906935624,Confident,+
538,112.82995860722038,Confident,++
539,127.55316941730985,Confident,++
540,19.84006031632924,Confident,+
541,127.55316941730985,Confident,++
542,122.16314814461408,Confident,++
543,20.85570288006791,Confident,+
544,45.749191210098765,Confident,+
545,45.749191210098765,Confident,+
546,125.9822195518355,Confident,++
547,125.9822195518355,Confident,++
548,24.312753318056913,Confident,+
549,25.164889635662576,Confident,+
550,25.164889635662576,Confident,+
551,32.6648495210788,Confident,+
552,30.03312723060446,Confident,+
553,103.6758909057138,Confident,++
554,50.15164640739953,Confident,++
555,53.38416796845639,Confident,++
556,24.37856520302211,Confident,+
557,54.05169807600034,Confident,++
558,50.361223060332314,Confident,++
559,24.066356905729766,Confident,+
560,24.132669065629074,Confident,+
561,24.066356905729766,Confident,+
562,26.215460524315404,Confident,+
563,22.918102424335927,Confident,+
564,22.918102424335927,Confident,+
565,97.72624891463954,Confident,++
566,24.132669065629074,Confident,+
567,49.57543994402563,Confident,+
568,84.86353426549113,Confident,++
569,147.28288643096587,Confident,++
570,21.11479189086847,Confident,+
571,26.258307782396685,Confident,+
572,21.98021777450453,Confident,+
573,13.960874311118689,Confident,+
574,174.624916122494,Confident,++
575,42.93934507632679,Confident,+
576,125.99862189224845,Confident,++
577,389.94241035642864,Confident,++
578,403.20277421413977,Confident,++
579,48.77683128127086,Confident,+
580,124.50928454979423,Confident,++
581,376.1372200453379,Confident,++
582,406.9423921691348,Confident,++
583,289.3210902845998,Confident,++
584,151.5908933065138,Confident,++
585,371.5652997844805,Confident,++
586,11.5506121461731,Confident,+
587,54.38522133378888,Confident,++
588,42.23810137102544,Confident,+
589,5.961227375745937,Confident,+
590,32.858124124372836,Confident,+
591,32.858124124372836,Confident,+
592,19.83854094755321,Confident,+
593,42.23810137102544,Confident,+
594,100.73023114714836,Confident,++
595,53.06467924679044,Confident,++
596,67.3628367069234,Confident,++
597,58.016378884365274,Confident,++
598,70.31342686107008,Confident,++
599,51.838194165984675,Confident,++
600,54.21800042628772,Confident,++
601,39.80484499758344,Confident,+
602,58.18182081205743,Confident,++
603,17.430947843829745,Confident,+
604,75.5489137698339,Confident,++
605,44.41455464295945,Confident,+
606,54.040078493419756,Confident,++
607,13.624604573603259,Confident,+
608,13.624604573603259,Confident,+
609,9.220927856147677,Confident,+
610,19.495906229891748,Confident,+
611,14.25906679756796,Confident,+
612,14.25906679756796,Confident,+
613,18.803838124463496,Confident,+
614,11.78044084933993,Confident,+
615,12.48752116156859,Confident,+
616,236.44615580817612,Confident,++
617,48.20145619410111,Confident,+
618,15.596077059405136,Confident,+
619,12.198310864431575,Confident,+
620,20.481084257477434,Confident,+
621,17.47373244658933,Confident,+
622,17.47373244658933,Confident,+
623,108.2661631084548,Confident,++
624,22.849052841541674,Confident,+
625,299.79156778175854,Confident,++
626,299.79156778175854,Confident,++
627,299.79156778175854,Confident,++
628,146.06576850239395,Confident,++
629,146.06576850239395,Confident,++
630,23.43573240520575,Confident,+
631,40.420801661759846,Confident,+
632,16.580870112094754,Confident,+
633,21.01219548493318,Confident,+
634,46.51883971490503,Confident,+
635,79.53600265555728,Confident,++
636,79.53600265555728,Confident,++
637,8.074910413661799,Confident,+
638,8.074910413661799,Confident,+
639,27.807487589321536,Confident,+
640,34.13914414558574,Confident,+
641,15.991568856028472,Confident,+
642,15.991568856028472,Confident,+
643,15.991568856028472,Confident,+
644,44.96562158920567,Confident,+
645,70.1427159219146,Confident,++
646,44.96562158920567,Confident,+
647,15.039269787729479,Confident,+
648,29.54155571473433,Confident,+
649,28.588393981382055,Confident,+
650,45.00869813486903,Confident,+
651,45.00869813486903,Confident,+
652,32.27353136377068,Confident,+
653,110.22603116178527,Confident,++
654,58.77589365547599,Confident,++
655,29.733547007073124,Confident,+
656,31.16889991431759,Confident,+
657,12.660598460325028,Confident,+
658,34.78221752320494,Confident,+
659,34.830927829474746,Confident,+
660,29.534821298492922,Confident,+
661,27.302652877156532,Confident,+
662,12.550249700212769,Confident,+
663,13.923845168426805,Confident,+
664,202.40921863229684,Confident,++
665,187.09313640938785,Confident,++
666,471.4028607903016,Confident,++
667,548.2852135820286,Confident,+++
668,548.2852135820286,Confident,+++
669,227.21656072449125,Confident,++
670,297.80346821189926,Confident,++
671,49.13924578362756,Confident,+
672,125.11970156780879,Confident,++
673,112.4801712582223,Confident,++
674,22.58701071227142,Confident,+
675,42.55845630797617,Confident,+
676,35.215975163080905,Confident,+
677,15.950638002346285,Confident,+
678,18.56682679163083,Confident,+
679,27.31917710891097,Confident,+
680,50.15164640739953,Confident,++
681,171.86895134926652,Confident,++
682,18.796579691669674,Confident,+
683,19.52313891059735,Confident,+
684,25.26217934818595,Confident,+
685,33.17774470528637,Confident,+
686,41.637106751909705,Confident,+
687,18.832785717128864,Confident,+
688,18.832785717128864,Confident,+
689,18.832785717128864,Confident,+
690,16.55424346048906,Confident,+
691,12.787745548337915,Confident,+
692,40.328156225825424,Confident,+
693,14.7522081070248,Confident,+
694,14.7522081070248,Confident,+
695,17.924767789173725,Confident,+
696,17.063669916591248,Confident,+
697,17.063669916591248,Confident,+
698,17.063669916591248,Confident,+
699,6.2213640099453995,Confident,+
700,51.54539466718353,Confident,++
701,46.4913738421644,Confident,+
702,3.109177777942682,Confident,+
703,10.38264197301834,Confident,+
704,150.5559012708338,Confident,++
705,39.22877789514381,Confident,+
706,83.42181744067891,Confident,++
707,267.67290980951975,Confident,++
708,24.183656567397303,Confident,+
709,23.13359386177858,Confident,+
710,25.42704766986984,Confident,+
711,30.572764145646108,Confident,+
712,77.08008757447446,Confident,++
713,70.64309976858489,Confident,++
714,166.04928880160162,Confident,++
715,31.70814893945299,Confident,+
716,31.70814893945299,Confident,+
717,22.69836714519992,Confident,+
718,7.928191596314293,Confident,+
719,6.318330109866135,Confident,+
720,35.571814356999475,Confident,+
721,8.79656534530251,Confident,+
722,31.99412674511408,Confident,+
723,31.99412674511408,Confident,+
724,45.8188771087147,Confident,+
725,22.28896569860806,Confident,+
726,63.52987884425485,Confident,++
727,5.626600870269089,Confident,+
728,10.054067650030376,Confident,+
729,7.799845985790638,Confident,+
730,8.007384911107424,Confident,+
731,63.52987884425485,Confident,++
732,40.74041659107866,Confident,+
733,28.828878981287993,Confident,+
734,22.590263272234772,Confident,+
735,19.37302826818662,Confident,+
736,48.553988873902284,Confident,+
737,26.205792138931514,Confident,+
738,24.190375471301795,Confident,+
739,35.80301014118447,Confident,+
740,35.80301014118447,Confident,+
741,383.5156824539802,Confident,++
742,74.28912502852008,Confident,++
743,61.05001421594943,Confident,++
744,31.453923537681227,Confident,+
745,34.562422479189586,Confident,+
746,34.562422479189586,Confident,+
747,10.58088051109536,Confident,+
748,0.5095341082556635,Confident,+
749,1.330600536673934,Confident,+
750,51.86150729031775,Confident,++
751,15.860325619478147,Confident,+
752,39.47451873570199,Confident,+
753,16.313338370145136,Confident,+
754,34.96826607140704,Confident,+
755,29.91696933523572,Confident,+
756,39.50946916418791,Confident,+
757,72.13141937109788,Confident,++
758,77.10767462658009,Confident,++
759,77.10767462658009,Confident,++
760,66.53884833221785,Confident,++
761,23.500793962775248,Confident,+
762,77.0167514293564,Confident,++
763,20.127656026559656,Confident,+
764,2.037024797303235,Confident,+
765,2.037024797303235,Confident,+
766,2.037024797303235,Confident,+
767,12.487318400699532,Confident,+
768,18.882341022182967,Confident,+
769,12.236427912917641,Confident,+
770,20.081566916918643,Confident,+
771,42.90779070507647,Confident,+
772,44.58053913123868,Confident,+
773,60.35880896256966,Confident,++
774,3.3400970658524867,Confident,+
775,0.5095341082556635,Confident,+
776,105.15268027413232,Confident,++
777,16.51491987416441,Confident,+
778,60.52508625105465,Confident,++
779,17.01938991150464,Confident,+
780,17.01938991150464,Confident,+
781,17.01938991150464,Confident,+
782,42.85324554266428,Confident,+
783,38.224669064979686,Confident,+
784,39.56814159332342,Confident,+
785,23.785001068104272,Confident,+
786,19.156343565113502,Confident,+
787,19.156343565113502,Confident,+
788,34.76173786081347,Confident,+
789,30.82501019095728,Confident,+
790,28.14685721498178,Confident,+
791,28.892056423228127,Confident,+
792,41.22307374059992,Confident,+
793,41.22307374059992,Confident,+
794,41.22307374059992,Confident,+
795,41.22307374059992,Confident,+
796,41.22307374059992,Confident,+
797,47.25234780027081,Confident,+
798,47.25234780027081,Confident,+
799,47.25234780027081,Confident,+
800,47.25234780027081,Confident,+
801,110.7222521088196,Confident,++
802,110.7222521088196,Confident,++
803,47.13758693122859,Confident,+
804,41.36504317585153,Confident,+
805,48.06071438265064,Confident,+
806,59.88832931512663,Confident,++
807,9.432814831150669,Confident,+
808,1.8481497806093043,Confident,+
809,2.037584500862811,Confident,+
810,47.80124290056611,Confident,+
811,63.54235840518529,Confident,++
812,33.92362630845193,Confident,+
813,17.116037846130887,Confident,+
814,40.78754411884462,Confident,+
815,68.09610422496914,Confident,++
816,29.01713122924673,Confident,+
817,25.16350028750717,Confident,+
818,38.46007571944087,Confident,+
819,19.822148210585446,Confident,+
820,30.771270226994723,Confident,+
821,28.72058797410572,Confident,+
822,13.326472057367345,Confident,+
823,189.29461535977148,Confident,++
824,28.72058797410572,Confident,+
825,19.78254991006632,Confident,+
826,11.334860835992194,Confident,+
827,34.15344533500735,Confident,+
828,34.15344533500735,Confident,+
829,3.4645955866393456,Confident,+
830,16.44617321162955,Confident,+
831,22.504732802996042,Confident,+
832,10.111801010017343,Confident,+
833,39.57122434859648,Confident,+
834,3.8723756068376396,Confident,+
835,11.655098141801368,Confident,+
836,62.47543657317634,Confident,++
837,161.65905578564642,Confident,++
838,17.6369858795952,Confident,+
839,3.8990528488831955,Confident,+
840,63.77122643520711,Confident,++
841,66.7868379852305,Confident,++
842,14.151087428743539,Confident,+
843,3.1470936968605163,Confident,+
844,8.156127073127864,Confident,+
845,25.459729725215077,Confident,+
846,17.916233264903315,Confident,+
847,28.30537183925997,Confident,+
848,3.212315585849167,Confident,+
849,13.800945295802075,Confident,+
850,28.72058797410572,Confident,+
851,11.655098141801368,Confident,+
852,11.655098141801368,Confident,+
853,33.83938341815305,Confident,+
854,16.657026071205387,Confident,+
855,36.63801404141824,Confident,+
856,43.22075299423249,Confident,+
857,43.22075299423249,Confident,+
858,43.22075299423249,Confident,+
859,16.657026071205387,Confident,+
860,33.83938341815305,Confident,+
861,16.657026071205387,Confident,+
862,22.504732802996042,Confident,+
863,35.693407665696014,Confident,+
864,32.169740039434835,Confident,+
865,32.169740039434835,Confident,+
866,49.50014342843294,Confident,+
867,31.8309220493241,Confident,+
